unit,vehicle,mot_nrg,geo\time,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1987 
NR,BUS_TOT,OTH,LT,: ,21 ,0 ,44 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,LU,: ,: ,: ,: ,0 ,0 ,0 ,8 ,0 ,8 ,6 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,LV,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,MT,0 ,23 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,NO,19 ,16 ,4 ,1 ,21 ,0 ,0 ,0 ,: z,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,PL,47 ,30 ,22 ,19 ,10 ,57 ,36 ,14 ,121 r,179 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,RO,: ,: ,: ,4 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,SE,: ,258 ,: ,67 ,43 ,36 ,144 ,1 ,78 ,42 ,35 ,29 ,64 ,114 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,SI,: ,: ,: ,: ,: ,: ,: z,: ,: ,: ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,TR,: ,1 ,: ,: ,: ,: ,: ,: ,11 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,UK,: ,: ,: ,: ,: ,: ,: ,1 ,3 ,12 ,13 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,AT,38 ,36 ,101 ,105 ,70 ,65 ,33 ,46 ,25 ,30 ,41 ,24 ,11 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,BE,: ,16 ,22 ,7 ,1 ,2 ,1 ,0 ,0 ,1 ,5 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,CH,200 n,0 e,50 ,0 e,100 ,0 ,100 ,141 ,15 ,: ,: ,: ,: ,: ,: ,2 ,12 ,49 ,: ,: ,: ,: ,: ,: ,: 
